Name,X062918.Healthy.ppLN.cDC1,X062918.PanIN.ppLN.cDC1,X062918.Tumor.ppLN.cDC1,X070618.Tumor.ppLN.cDC1,X071618.Tumor.ppLN.cDC1,X071718.PanIN.ppLN.cDC1,X072618.PanIN.ppLN.cDC1,X073018.Healthy.ppLN.cDC1,X080618.Healthy.ppLN.cDC1
ENSMUST00000139018,0,1.042524,0.527745,0,1.001376,0,0,0,0
ENSMUST00000146238,0,0.529553,0.217963,0,0.254475,0.057811,0.355354,0,0.021334
ENSMUST00000146922,0.357475,0,0,0,0,0,0,0,0
ENSMUST00000143396,0.395908,0,0.26181,0,0.070241,0.086513,0.342515,0.062453,0.09393
ENSMUST00000139858,1.624828,0.857035,1.015141,2.110828,0.877117,1.978049,1.159744,1.446605,2.743252
ENSMUST00000155896,0,0.070792,0,0,0,0.118755,0,0,1.485004
ENSMUST00000174907,61.204205,81.040987,15.133886,12.93385,17.704066,0,76.269853,0,83.352431
ENSMUST00000021903,4.792706,7.062525,6.252146,3.942905,9.866888,3.672023,8.164423,4.269474,3.809146
ENSMUST00000132480,0.882538,2.269248,1.232559,0.822609,4.139599,0.414305,3.201428,0.67515,0.389858
ENSMUST00000181851,0,0,0,0,0,0,0,0,0
